# r Si-Si Si-Ge Ge-Ge
2.990000000000006875e+00 8.124137612134076925e-01 6.220028121758988116e-01 5.457339191617014418e-01
3.009999999999992681e+00 9.174146315472186952e-01 5.102813997446342675e-01 5.924267136654605137e-01
3.029999999999982041e+00 9.122748657352655055e-01 5.277925500145084214e-01 6.932801782988644579e-01
3.049999999999989608e+00 1.018349113091977065e+00 5.282231092103610859e-01 6.820402048211942070e-01
3.070000000000013607e+00 1.026683959582856742e+00 5.542007643323013655e-01 6.362639042513046350e-01
3.090000000000003855e+00 1.104677052732513820e+00 4.660063354901922694e-01 6.937859630699096947e-01
3.110000000000011422e+00 1.135167504929553983e+00 5.112988115252208310e-01 7.486713014481830575e-01
3.129999999999995897e+00 1.100300516593010203e+00 5.381871918681899736e-01 8.557874381651959794e-01
3.149999999999985700e+00 1.193239311454242779e+00 5.247044221292829214e-01 8.424223589085914066e-01
3.169999999999988383e+00 1.297862981399940718e+00 4.573821238897906594e-01 8.815574631834286468e-01
3.190000000000019043e+00 1.186824798101399292e+00 5.700934774944472760e-01 9.180243351461012669e-01
3.210000000000007958e+00 1.415916478225006880e+00 6.060155261716622110e-01 8.478750043653845436e-01
3.230000000000011084e+00 1.334861908434258781e+00 5.571999042720600093e-01 8.745869708243428908e-01
3.250000000000000000e+00 1.457282060978329019e+00 5.746382247551293787e-01 1.026163185174444159e+00
3.269999999999988916e+00 1.297546422471196115e+00 5.355812747626422787e-01 1.023572047114135852e+00
3.289999999999991154e+00 1.332985981894882821e+00 5.857274086691373061e-01 9.457642192635093981e-01
3.309999999999979625e+00 1.376906227343785982e+00 5.775715951068040033e-01 1.096994184861719512e+00
3.330000000000013394e+00 1.479143809592212033e+00 5.508399231240800331e-01 1.266938902657351429e+00
3.350000000000014744e+00 1.478928205318134070e+00 4.972075226475954901e-01 1.173672337517982278e+00
3.370000000000004103e+00 1.490626138261170741e+00 5.397734812535707194e-01 1.025806955908508566e+00
3.389999999999988578e+00 1.530563447369028829e+00 5.922402023137349758e-01 1.286855565942519375e+00
3.409999999999993481e+00 1.488337682325342914e+00 5.647956969730428822e-01 1.271084716923835733e+00
3.429999999999982396e+00 1.541540321703571026e+00 5.440489307019166221e-01 1.281368403983172977e+00
3.450000000000014388e+00 1.646480274670707677e+00 5.608381725062315803e-01 1.178897277220770645e+00
3.470000000000019291e+00 1.669696290647893155e+00 6.564032340868790616e-01 1.333289266311208587e+00
3.490000000000007319e+00 1.559637969974788652e+00 5.898727399815901773e-01 1.168969783357014069e+00
3.509999999999992681e+00 1.529886816207382427e+00 6.041427445261546847e-01 1.224328649904824040e+00
3.529999999999980709e+00 1.729718787092582311e+00 6.470700235156588986e-01 1.372838658023927350e+00
3.549999999999984723e+00 1.763419344631690366e+00 6.665468268553259579e-01 1.254398626207616108e+00
3.570000000000018492e+00 1.773057613117265729e+00 6.637916606737387371e-01 1.253450120943341739e+00
3.590000000000007851e+00 1.732023174520615383e+00 6.921361284276097425e-01 1.460586956561228611e+00
3.610000000000011422e+00 1.651614416099644655e+00 6.960106931214944392e-01 1.440285442458113518e+00
3.629999999999995897e+00 1.826054027769586474e+00 6.466722346408111388e-01 1.429800985587076578e+00
3.649999999999984812e+00 1.579852691630091899e+00 6.825966929060136579e-01 1.240179149917375545e+00
3.669999999999984386e+00 1.645167267312597437e+00 7.064444900014484885e-01 1.517117468338041508e+00
3.690000000000023928e+00 1.614158736588487075e+00 7.445462107735584256e-01 1.296340197677591233e+00
3.710000000000011955e+00 1.667502791297736042e+00 7.515992964657788322e-01 1.437725745121355647e+00
3.730000000000011973e+00 1.708679037002725831e+00 7.335534348060966936e-01 1.511201929538027899e+00
3.750000000000000000e+00 1.489977327383400052e+00 7.673142860761460460e-01 1.472837356489987259e+00
3.769999999999988027e+00 1.485019566189899498e+00 7.996533267724118543e-01 1.331006282052771272e+00
3.789999999999987601e+00 1.557134334452684232e+00 7.816405982890554105e-01 1.385256756504726905e+00
3.809999999999975184e+00 1.467073469658022988e+00 7.725849449573154448e-01 1.374710571481942756e+00
3.830000000000016946e+00 1.591847201471188411e+00 8.486562151066049386e-01 1.446712732295431847e+00
3.850000000000015632e+00 1.567317865020908974e+00 8.029398390907642735e-01 1.393815287074076315e+00
3.870000000000004103e+00 1.487804632672954153e+00 8.387268682611799253e-01 1.415856797924712751e+00
3.889999999999988134e+00 1.542505357278332934e+00 7.961367410681122747e-01 1.405891432852216294e+00
3.909999999999989928e+00 1.574992434642278782e+00 8.813626014178593815e-01 6.734688789536857456e+00
3.929999999999978400e+00 1.297558691344905757e+00 8.808963791217799821e-01 1.430366964504465210e+00
3.950000000000018385e+00 1.465927533741663291e+00 8.550882704870634843e-01 1.400934868022990498e+00
3.970000000000020179e+00 1.319920015302889604e+00 9.018245714086529086e-01 1.537099472817773593e+00
3.990000000000007319e+00 1.357640586020596896e+00 8.955505101743446161e-01 1.334650577135401806e+00
4.009999999999992681e+00 1.331884185428958478e+00 9.060311995863714607e-01 1.393734194301555984e+00
4.029999999999979821e+00 1.372691810556512015e+00 9.752689161343608415e-01 1.272575401747296331e+00
4.049999999999981171e+00 1.230714617694126822e+00 9.323285404074823646e-01 1.344881382393491531e+00
4.070000000000020712e+00 1.259679843013987943e+00 9.376486373788398554e-01 1.318017507553690848e+00
4.090000000000008740e+00 1.336954651512925807e+00 9.547787120901978231e-01 1.365585184041104849e+00
4.110000000000009202e+00 1.154887891373375552e+00 9.527883439402904386e-01 1.224140132757817190e+00
